IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.210.107.246,80,80,false,HKG,Asia Pacific,Hong Kong,242,0.00
47.90.141.204,80,80,false,LAX,North America,Los Angeles,243,0.00
8.218.2.181,2095,2095,false,HKG,Asia Pacific,Hong Kong,245,0.00
8.210.192.93,2086,2086,false,HKG,Asia Pacific,Hong Kong,245,0.00
8.218.243.95,2086,2086,false,HKG,Asia Pacific,Hong Kong,245,0.00
8.210.9.129,2086,2086,false,HKG,Asia Pacific,Hong Kong,246,0.00
8.218.18.132,8880,8880,false,HKG,Asia Pacific,Hong Kong,246,0.00
47.90.141.204,80,80,false,LAX,North America,Los Angeles,247,0.00
8.222.214.231,80,80,false,SIN,Asia Pacific,Singapore,248,0.00
47.242.176.237,8080,8080,false,HKG,Asia Pacific,Hong Kong,249,0.00
8.219.66.156,2086,2086,false,NRT,Asia Pacific,Tokyo,251,0.00
8.218.48.92,8880,8880,false,HKG,Asia Pacific,Hong Kong,251,0.00
47.76.80.72,80,80,false,HKG,Asia Pacific,Hong Kong,252,0.00
47.242.232.14,8880,8880,false,HKG,Asia Pacific,Hong Kong,255,0.00
47.76.49.246,8080,8080,false,HKG,Asia Pacific,Hong Kong,256,0.00
47.76.32.108,8880,8880,false,HKG,Asia Pacific,Hong Kong,257,0.00
8.210.146.108,8880,8880,false,HKG,Asia Pacific,Hong Kong,259,0.00
47.242.59.216,8080,8080,false,HKG,Asia Pacific,Hong Kong,262,0.00
8.218.126.53,2086,2086,false,HKG,Asia Pacific,Hong Kong,263,0.00
47.76.146.1,2095,2095,false,HKG,Asia Pacific,Hong Kong,264,0.00
8.217.159.210,2095,2095,false,HKG,Asia Pacific,Hong Kong,266,0.00
47.243.173.187,2095,2095,false,HKG,Asia Pacific,Hong Kong,268,0.00
8.217.145.40,8880,8880,false,HKG,Asia Pacific,Hong Kong,269,0.00
8.217.85.14,2095,2095,false,HKG,Asia Pacific,Hong Kong,272,0.00
47.242.171.94,80,80,false,HKG,Asia Pacific,Hong Kong,272,0.00
8.217.193.25,2052,2052,false,HKG,Asia Pacific,Hong Kong,273,0.00
8.217.250.222,2052,2052,false,HKG,Asia Pacific,Hong Kong,273,0.00
47.242.176.237,2086,2086,false,HKG,Asia Pacific,Hong Kong,280,0.00
8.218.122.55,2052,2052,false,HKG,Asia Pacific,Hong Kong,281,0.00
8.218.204.128,2052,2052,false,HKG,Asia Pacific,Hong Kong,282,0.00
8.219.42.72,2082,2082,false,SIN,Asia Pacific,Singapore,282,0.00
8.217.248.220,8880,8880,false,HKG,Asia Pacific,Hong Kong,283,0.00
47.76.49.246,2082,2082,false,HKG,Asia Pacific,Hong Kong,285,0.00
8.210.119.11,2082,2082,false,HKG,Asia Pacific,Hong Kong,285,0.00
8.218.65.237,2086,2086,false,HKG,Asia Pacific,Hong Kong,290,0.00
47.242.234.127,2095,2095,false,HKG,Asia Pacific,Hong Kong,291,0.00
8.217.193.25,80,80,false,HKG,Asia Pacific,Hong Kong,291,0.00
47.243.183.127,2052,2052,false,HKG,Asia Pacific,Hong Kong,294,0.00
47.243.183.127,8080,8080,false,HKG,Asia Pacific,Hong Kong,294,0.00
47.243.183.127,2052,2052,false,HKG,Asia Pacific,Hong Kong,295,0.00
47.242.125.241,2086,2086,false,HKG,Asia Pacific,Hong Kong,295,0.00
8.217.159.210,2082,2082,false,HKG,Asia Pacific,Hong Kong,296,0.00
8.210.245.224,2052,2052,false,HKG,Asia Pacific,Hong Kong,297,0.00
8.210.9.129,2095,2095,false,HKG,Asia Pacific,Hong Kong,299,0.00
47.242.176.237,2052,2052,false,HKG,Asia Pacific,Hong Kong,300,0.00
8.217.85.14,8880,8880,false,HKG,Asia Pacific,Hong Kong,303,0.00
8.210.245.224,8080,8080,false,HKG,Asia Pacific,Hong Kong,303,0.00
8.217.251.62,2086,2086,false,HKG,Asia Pacific,Hong Kong,304,0.00
8.210.119.11,8080,8080,false,HKG,Asia Pacific,Hong Kong,304,0.00
47.243.173.187,8080,8080,false,HKG,Asia Pacific,Hong Kong,304,0.00
8.219.51.211,2052,2052,false,SIN,Asia Pacific,Singapore,308,0.00
47.242.125.241,2095,2095,false,HKG,Asia Pacific,Hong Kong,309,0.00
8.210.66.190,2052,2052,false,HKG,Asia Pacific,Hong Kong,311,0.00
